variant,envelope,scenario,seed,transaction_cost_bps,path_bootstrap_reps,runtime_sec,path_bootstrap_robust_min_p05,case_slack,breach,mean_test_relative
v25v_n8,random_holdout,random_holdout_b11_p12340,29,22,900,1.6638857910293154,-0.0051463151033822145,0.0018536848966177856,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b11_p12340,29,25,900,1.623439209011849,-0.005497660591315584,0.0015023394086844163,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,5,22,900,1.757004415965639,-0.005912751892161688,0.001087248107838312,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,5,25,900,1.5852827080525458,-0.006315525744362338,0.0006844742556376621,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,17,22,900,1.6020628749975003,-0.005075966921762048,0.001924033078237952,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,17,25,900,1.61732837499585,-0.005273437455889534,0.001726562544110466,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p11737,29,22,900,1.621465458010789,-0.005815837286168374,0.0011841627138316265,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p11737,29,25,900,1.5986356250359677,-0.006019963941667905,0.0009800360583320953,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p6198,5,22,900,1.590847333020065,-0.006228083741143414,0.0007719162588565864,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,5,25,900,1.6159287089831196,-0.00652506015383183,0.00047493984616817,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p6198,17,22,900,1.8356651670183055,-0.005808794455747262,0.0011912055442527382,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,17,25,900,1.586752416973468,-0.0062281591644862576,0.0007718408355137426,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b12_p6198,29,22,900,1.5857625830103643,-0.00475566046604457,0.00224433953395543,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b12_p6198,29,25,900,1.5852733749779873,-0.004934770641192332,0.0020652293588076685,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,5,22,900,1.5641308749909513,-0.005201155719478356,0.001798844280521644,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,5,25,900,1.5675307920319028,-0.005471163481931657,0.001528836518068343,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,17,22,900,1.5741315830382518,-0.00505033573224411,0.0019496642677558898,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,17,25,900,1.6182383749983273,-0.005220234118143413,0.0017797658818565869,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p7889,29,22,900,1.660190665978007,-0.005091071472331887,0.001908928527668113,False,0.005384220548819973
v25v_n8,random_holdout,random_holdout_b15_p7889,29,25,900,1.612288374977652,-0.0053378597945651415,0.0016621402054348587,False,0.005195956249227418
v25v_n8,random_holdout,random_holdout_b15_p8956,5,22,900,1.6857390420045704,-0.005659818134976208,0.0013401818650237924,False,0.005384220548819973
